gene,cds_len,utr_len,cds_fw,cds_te,cds_skew,cds_kurt,utr_fw,utr_te,utr_skew,utr_kurt,gradient_fw,gradient_te,n_cds_windows,n_utr_windows
ABCB6,2553,364,0.030928,0.00035532,1.2973,1.1802,0.0,0.0,0.1556,-1.048,-0.030928,-0.00035532,98,10
ABCB7,2274,87,0.047059,0.00053035,1.0312,0.5964,,,,,,,86,0
ABCB8,2289,293,0.011628,0.00026265,0.8128,1.435,0.0,0.0,0.4312,-1.3281,-0.011628,-0.00026265,87,7
ABCB9,2301,1183,0.011628,0.00044682,1.4451,3.756,0.02381,0.00046659,1.4374,2.9319,0.012182,1.977e-05,87,43
ABCC1,4752,1897,0.005435,3.37e-06,0.7015,-0.3037,0.028571,1.629e-05,1.0235,0.0892,0.023136,1.292e-05,185,71
ABCC10,4524,468,0.017143,0.00014677,1.0575,0.9126,0.0,0.0,0.5924,-0.6227,-0.017143,-0.00014677,176,14
ABCC11,4149,1745,0.00625,1.115e-05,1.0317,0.5601,0.015625,0.00031722,0.9827,1.3019,0.009375,0.00030607,161,65
ABCC12,4080,3305,0.012658,0.00035715,1.5359,3.5391,0.007874,1.537e-05,1.0283,0.8037,-0.004784,-0.00034178,159,128
ABCC2,4638,1168,0.011111,0.00019344,1.0691,1.2196,0.02439,0.00016741,1.2147,1.1379,0.013279,-2.603e-05,181,42
ABCC3,4689,515,0.027473,0.00042686,0.9995,0.7922,0.0,0.0,0.5634,-0.8952,-0.027473,-0.00042686,183,16
ABCC4,4002,671,0.019481,0.00047661,1.3189,2.4019,0.047619,0.00069787,0.8546,-0.2966,0.028138,0.00022126,155,22
ABCC5,4314,1476,0.011976,0.0001067,0.8748,0.2874,0.018868,0.00025488,1.1072,1.2793,0.006892,0.00014818,168,54
ABCC6,4608,657,0.011173,0.00037268,1.2772,2.8744,0.047619,0.00150852,2.1103,5.7078,0.036446,0.00113584,180,22
ABCC8,4812,524,0.010695,0.00036838,1.2251,2.9442,0.0,0.0,0.7719,0.1408,-0.010695,-0.00036838,188,16
ABCC9,4650,4018,0.011111,0.0002049,0.9944,0.7012,0.019355,0.00010651,0.9266,0.0011,0.008244,-9.839e-05,181,156
ABCD1,2538,1431,0.010417,7.545e-05,1.0727,1.1265,0.0,0.0,1.2332,1.7006,-0.010417,-7.545e-05,97,53
ABCD2,2223,4067,0.0,0.0,0.6363,-0.3467,0.0,0.0,1.0073,0.4868,0.0,0.0,84,158
ABCD3,2052,1619,0.013158,0.00024055,0.8918,0.9121,0.050847,0.00036586,1.271,1.3889,0.037689,0.00012531,77,60
ABCD4,1872,549,0.014493,0.00018312,0.8811,0.7992,0.0,0.0,1.0405,0.1309,-0.014493,-0.00018312,70,17
ABCE1,1827,608,0.029851,0.00011214,1.0693,0.7874,0.0,0.0,0.6349,0.0767,-0.029851,-0.00011214,68,20
ABCF1,2637,640,0.03,0.00050512,1.1913,1.1617,0.1,0.00128308,1.5012,1.6923,0.07,0.00077796,101,21
ABCF2,1977,607,0.013699,0.00044334,1.1953,1.1812,0.0,0.0,0.6585,-0.1987,-0.013699,-0.00044334,74,20
ABCF2-H2BK1,1905,280,0.028169,0.00077397,1.24,1.1479,0.0,0.0,1.0725,-0.0181,-0.028169,-0.00077397,72,7
ABCF3,2163,324,0.0,0.0,0.9061,-0.0135,0.0,0.0,0.8325,-0.9169,0.0,0.0,82,8
ABCG1,2475,1000,0.0,0.0,0.8889,-0.0749,0.0,0.0,0.4537,-1.1552,0.0,0.0,94,35
ABCG2,2055,1705,0.012987,0.00017179,0.8364,0.5012,0.047619,0.00086981,1.2641,1.6287,0.034632,0.00069802,78,64
ABCG4,1941,1871,0.041667,0.00040898,1.1706,0.9898,0.014493,0.00101321,2.2337,7.5786,-0.027174,0.00060423,73,70
ABCG5,1956,804,0.013699,1.521e-05,0.8895,-0.1372,0.0,0.0,1.3122,1.2632,-0.013699,-1.521e-05,74,28
ABCG8,2037,2254,0.026316,0.00030915,1.0448,0.5059,0.023529,0.00072937,1.1943,1.5087,-0.002787,0.00042022,77,86
ABHD1,1218,202,0.023256,0.00103517,2.1115,7.0383,,,,,,,44,0
ABHD10,1041,1686,0.027778,0.00073085,1.1205,1.6835,0.016129,0.0002423,1.4185,3.6488,-0.011649,-0.00048855,37,63
ABHD11,939,540,0.03125,0.0001676,1.1066,0.4808,0.0,0.0,0.9009,-0.5991,-0.03125,-0.0001676,33,17
ABHD12,1257,742,0.022222,0.00019035,0.942,0.1039,0.0,0.0,1.0213,0.4905,-0.022222,-0.00019035,46,25
ABHD12B,1089,726,0.026316,3.024e-05,1.1558,1.6715,0.0,0.0,0.6651,0.1008,-0.026316,-3.024e-05,39,24
ABHD13,1014,4299,0.0,0.0,0.4254,-1.0206,0.024096,0.00100865,1.4601,3.0277,0.024096,0.00100865,36,167
ABHD14A,816,250,0.0,0.0,0.8246,-0.1349,,,,,,,28,0
ABHD14A-ACY1,1759,0,0.015385,0.0001414,0.9615,0.6692,,,,,,,66,0
ABHD14B,825,1054,0.074074,0.00053179,0.7649,0.2617,0.054054,0.00109055,1.4795,1.9379,-0.02002,0.00055876,28,38
ABHD15,1407,2085,0.0,0.0,0.8276,-0.1307,0.025641,9.694e-05,0.7541,-0.0088,0.025641,9.694e-05,52,79
ABHD16A,1806,263,0.0,0.0,0.9254,0.3923,0.0,0.0,0.7131,-0.921,0.0,0.0,68,6
ABHD16B,1410,81,0.058824,0.00081471,1.4591,2.0109,,,,,,,52,0
ABHD17A,1086,544,0.026316,0.0004535,1.0967,1.1769,0.0,0.0,0.5803,-0.8235,-0.026316,-0.0004535,39,17
ABHD17B,882,430,0.033333,0.00184396,2.4524,7.4026,0.083333,0.00029569,1.9061,3.403,0.05,-0.00154827,31,13
ABHD17C,990,1371,0.0,0.0,0.3279,-0.897,0.020408,9.008e-05,0.6637,-0.5901,0.020408,9.008e-05,35,50
ABHD18,1734,807,0.0,0.0,0.3904,-0.5273,0.0,0.0,0.4845,-0.7824,0.0,0.0,65,28
ABHD2,1278,1069,0.0,0.0,0.6802,-0.6267,0.081081,0.00114726,1.0207,0.2009,0.081081,0.00114726,47,38
ABHD3,1329,796,0.020833,0.00010625,1.106,1.2792,0.0,0.0,0.6872,-0.458,-0.020833,-0.00010625,49,27
ABHD4,1029,2022,0.055556,0.00055228,0.6139,-0.4453,0.013333,2.185e-05,0.7742,0.4021,-0.042223,-0.00053043,37,76
ABHD5,1050,4248,0.0,0.0,1.2062,1.3175,0.02439,0.00050407,1.4119,3.345,0.02439,0.00050407,37,165
ABHD6,1128,1122,0.025,4.487e-05,0.7018,0.1261,0.076923,0.00118988,1.5822,2.2752,0.051923,0.00114501,41,40
ABHD8,1320,722,0.042553,0.00094173,1.0844,0.7424,0.043478,0.00093954,1.6126,2.4452,0.000925,-2.19e-06,48,24
ABI1,1527,2049,0.0,0.0,0.6523,-0.5001,0.013158,5.75e-06,0.7999,0.055,0.013158,5.75e-06,56,77
ABI2,1629,4938,0.033333,0.00132026,1.4236,2.392,0.005208,8.28e-05,0.8617,0.8587,-0.028125,-0.00123746,61,193
ABI3,1119,362,0.0,0.0,0.9259,0.3674,0.0,0.0,-0.0101,-1.5931,0.0,0.0,40,10
ABI3BP,5382,1355,0.014286,0.00020466,1.1014,1.0902,0.061224,0.00045781,1.2211,0.5659,0.046938,0.00025315,211,50
ABITRAM,546,1355,0.0,0.0,0.0751,-1.1578,0.0,0.0,0.9878,0.5824,0.0,0.0,17,50
ABL1,3450,3269,0.015152,0.00031042,1.2839,1.7447,0.016,0.00019944,0.9497,0.802,0.000848,-0.00011098,133,126
ABL2,3549,8668,0.007353,0.00012262,0.9471,1.3247,0.014663,0.00032759,1.0195,0.9528,0.00731,0.00020497,137,342
ABLIM1,2505,165,0.010526,0.00016528,0.8016,0.6063,,,,,,,96,0
ABLIM2,2058,1787,0.0,0.0,0.8654,-0.0391,0.015152,0.00017871,1.2212,2.1134,0.015152,0.00017871,78,67
ABLIM3,2052,2387,0.0,0.0,0.7981,-0.3511,0.011111,4.559e-05,0.9582,0.625,0.011111,4.559e-05,77,91
ABO,1122,25,0.0,0.0,0.8709,-0.2583,,,,,,,40,0
ABR,3357,2669,0.023256,0.00044199,1.2649,1.3343,0.019802,0.00033513,1.1734,0.961,-0.003454,-0.00010686,130,102
ABRA,1146,1608,0.025,0.00017395,0.904,0.2621,0.033898,0.00031976,0.8625,0.4661,0.008898,0.00014581,41,60
ABRAXAS1,1230,2980,0.022727,6.868e-05,0.7588,-0.3128,0.017544,9.466e-05,0.9369,0.7574,-0.005183,2.598e-05,45,115
ABRAXAS2,1653,1702,0.032787,0.00040331,1.6686,3.2783,0.032258,0.00071936,1.1584,1.6238,-0.000529,0.00031605,62,63
ABT1,819,2124,0.037037,0.00041523,0.7265,-0.1624,0.0,0.0,0.5695,-0.5333,-0.037037,-0.00041523,28,80
ABTB1,1476,502,0.037736,6.927e-05,1.1759,0.4136,0.071429,0.00134546,1.1711,0.7853,0.033693,0.00127619,54,15
ABTB2,3078,1827,0.016949,2.219e-05,0.8128,0.384,0.029851,0.00017875,1.5619,2.1063,0.012902,0.00015656,119,68
ABTB3,3315,2431,0.007874,5.067e-05,0.703,-0.1709,0.0,0.0,0.6598,-0.6466,-0.007874,-5.067e-05,128,93
ACAA1,1302,456,0.0,0.0,0.9819,0.3013,0.0,0.0,1.1163,0.8147,0.0,0.0,47,14
ACAA2,1215,741,0.0,0.0,1.0915,1.1031,0.0,0.0,0.813,0.193,0.0,0.0,44,25
ACACA,7152,2810,0.003571,7.425e-05,0.7805,0.5442,0.018692,0.00031107,1.1075,1.3953,0.015121,0.00023682,281,108
ACACB,7377,1991,0.00346,6.438e-05,0.8284,0.2534,0.067568,0.00054957,1.2177,0.8604,0.064108,0.00048519,290,75
ACAD10,3411,815,0.015267,7.705e-05,1.0879,1.4803,0.037037,0.00049287,1.2903,1.4697,0.02177,0.00041582,132,28
ACAD11,2445,878,0.021739,0.00024455,0.7426,0.1185,0.033333,0.00030248,1.2237,1.0522,0.011594,5.793e-05,93,31
ACAD8,1512,954,0.036364,0.00025258,0.9811,0.6455,0.0,0.0,0.5097,-0.5881,-0.036364,-0.00025258,56,34
ACAD9,1983,736,0.040541,0.00041467,1.0783,0.7142,0.0,0.0,0.4549,-0.6196,-0.040541,-0.00041467,75,25
ACADL,1293,1222,0.065217,0.00099354,1.0242,0.6451,0.0,0.0,0.6219,-0.2702,-0.065217,-0.00099354,47,44
ACADM,1365,807,0.0,0.0,1.438,1.852,0.037037,1.768e-05,0.9713,-0.0408,0.037037,1.768e-05,50,28
ACADS,1239,620,0.0,0.0,0.5676,-0.5218,0.052632,0.00020387,0.9541,-0.4047,0.052632,0.00020387,45,20
ACADSB,1299,4549,0.0,0.0,0.5281,-0.2035,0.011364,0.00010239,1.1004,0.9687,0.011364,0.00010239,47,177
ACADVL,2037,190,0.013158,0.00024603,1.306,2.3031,,,,,,,77,0
ACAN,7707,1253,0.016502,0.0002461,1.0871,1.0122,0.022222,0.00011745,0.6742,-0.2092,0.00572,-0.00012865,304,46
ACAP1,2301,281,0.011628,9.78e-06,0.44,-0.3586,0.0,0.0,-0.6234,-1.3145,-0.011628,-9.78e-06,87,7
ACAP2,2526,676,0.021053,0.00052385,1.2318,1.4623,0.047619,0.00088602,1.3887,1.5266,0.026566,0.00036217,96,22
ACAP3,2742,1338,0.028846,0.0001807,1.0618,0.6779,0.020833,0.00014873,0.7925,0.9621,-0.008013,-3.197e-05,105,49
ACAT1,1308,203,0.021277,2.445e-05,0.6798,-0.0167,,,,,,,48,0
ACAT2,1221,1061,0.0,0.0,0.9584,0.1025,0.0,0.0,0.5946,-0.6452,0.0,0.0,44,38
ACBD3,1611,1972,0.016949,0.0010219,1.8257,5.4262,0.013699,4.861e-05,0.8767,0.9538,-0.00325,-0.00097329,60,74
ACBD4,1026,1000,0.0,0.0,0.8457,0.099,0.0,0.0,0.7251,-0.2617,0.0,0.0,36,35
ACBD5,1605,1567,0.016949,4.91e-05,0.7248,-0.0747,0.035088,0.00016981,1.3926,1.9133,0.018139,0.00012071,60,58
ACBD6,963,418,0.030303,0.00053359,1.0565,0.9856,0.0,0.0,-0.0597,-1.37,-0.030303,-0.00053359,34,12
ACBD7,267,3103,0.0,0.0,0.731,-0.5677,0.0,0.0,0.6884,-0.1663,0.0,0.0,6,120
ACCS,1506,877,0.054545,0.00075812,1.2493,1.1948,0.0,0.0,0.1467,-1.0418,-0.054545,-0.00075812,56,30
ACCSL,1707,113,0.015873,0.00050485,1.4711,2.8349,,,,,,,64,0
ACD,1395,72,0.0,0.0,0.7571,-0.3871,,,,,,,51,0
ACE,3945,290,0.006579,0.00012249,1.0685,1.3959,0.0,0.0,-0.2496,-1.1946,-0.006579,-0.00012249,153,7
ACE2,2418,4995,0.0,0.0,0.8163,-0.2728,0.010309,0.0002577,1.2549,1.5099,0.010309,0.0002577,92,195
ACER1,795,633,0.0,0.0,1.2661,1.1599,0.0,0.0,0.7899,-0.1107,0.0,0.0,27,21
ACER2,828,1945,0.0,0.0,0.8504,-0.484,0.0,0.0,1.0263,1.1151,0.0,0.0,29,73
ACER3,825,3670,0.0,0.0,0.6992,-0.7499,0.021277,0.00048391,1.3216,2.5954,0.021277,0.00048391,28,142
ACHE,1854,1102,0.014493,0.00015592,0.8455,0.4726,0.026316,0.00099424,1.5022,3.327,0.011823,0.00083832,70,39
ACIN1,4026,909,0.03871,0.00060844,1.352,2.2513,0.032258,0.00029648,1.0504,0.9673,-0.006452,-0.00031196,156,32
ACKR1,1017,179,0.057143,0.00181935,2.114,5.2909,,,,,,,36,0
ACKR2,1155,1835,0.097561,0.0009641,0.825,-0.2157,0.058824,0.00138125,1.4243,2.3155,-0.038737,0.00041715,42,69
ACKR3,1089,926,0.105263,0.00114525,1.3063,0.5106,0.0,0.0,1.1065,0.6354,-0.105263,-0.00114525,39,32
ACKR4,1053,1257,0.0,0.0,0.8481,-0.0748,0.066667,0.00061687,1.0328,0.4052,0.066667,0.00061687,38,46
ACLY,3390,1034,0.007692,1.339e-05,0.8443,-0.1479,0.0,0.0,0.0984,-1.0618,-0.007692,-1.339e-05,131,37
ACMSD,1056,322,0.0,0.0,0.8293,-0.3076,0.0,0.0,0.1989,-1.4904,0.0,0.0,38,8
ACO1,2700,830,0.039216,0.00070637,1.5199,2.609,0.0,0.0,0.3634,-0.4651,-0.039216,-0.00070637,103,29
ACO2,2559,303,0.020619,0.00023331,0.9702,0.802,0.0,0.0,0.476,-0.3862,-0.020619,-0.00023331,98,8
ACOD1,1446,701,0.019231,2.065e-05,1.0917,1.5565,0.045455,0.00032922,1.3987,1.764,0.026224,0.00030857,53,23
ACOT1,1266,420,0.044444,0.000625,0.9681,0.2346,0.0,0.0,0.6527,-0.2847,-0.044444,-0.000625,46,12
ACOT11,1824,4545,0.0,0.0,0.9363,0.037,0.045455,0.00084116,1.5208,2.6682,0.045455,0.00084116,68,177
ACOT12,1668,418,0.016393,8.792e-05,1.0076,0.7805,0.0,0.0,0.7843,-0.5781,-0.016393,-8.792e-05,62,12
ACOT13,423,3618,0.0,0.0,0.2507,-0.6681,0.007194,0.00018058,1.0882,1.7281,0.007194,0.00018058,12,140
ACOT2,1452,170,0.019231,5.372e-05,0.5832,-0.128,,,,,,,53,0
ACOT4,1266,199,0.0,0.0,0.8975,0.1026,,,,,,,46,0
ACOT6,1266,104,0.0,0.0,0.7493,0.0562,,,,,,,46,0
ACOT7,1143,471,0.025,0.00015344,1.4968,1.9271,0.0,0.0,0.523,-0.0086,-0.025,-0.00015344,41,14
ACOT8,966,210,0.030303,0.00019645,0.6936,-0.1517,,,,,,,34,0
ACOT9,1392,386,0.02,8.942e-05,0.8062,0.5204,0.1,0.00318324,1.6102,1.6952,0.08,0.00309382,51,11
ACOX1,2181,2480,0.036585,0.00032387,1.3668,2.3285,0.021277,0.00027703,1.1712,1.5137,-0.015308,-4.684e-05,83,95
ACOX2,2118,251,0.012658,2.272e-05,0.9346,0.4678,,,,,,,80,0
ACOX3,2124,834,0.0,0.0,0.5958,-0.0417,0.035714,0.00247342,1.5932,3.9024,0.035714,0.00247342,80,29
ACOXL,1875,610,0.014493,0.00018294,0.9333,0.5078,0.052632,0.00200163,2.2062,5.4129,0.038139,0.00181869,70,20
ACP1,477,997,0.0,0.0,0.6494,0.1535,0.029412,5.246e-05,0.3214,-0.9344,0.029412,5.246e-05,14,35
ACP2,1305,806,0.021277,0.00023853,0.6553,-0.043,0.0,0.0,0.9703,0.0843,-0.021277,-0.00023853,48,28
ACP3,1257,530,0.0,0.0,1.4392,2.0193,0.0625,0.00102086,1.1903,0.7159,0.0625,0.00102086,46,17
ACP4,1281,61,0.0,0.0,0.96,0.0844,,,,,,,47,0
ACP5,1002,435,0.0,0.0,0.8079,-0.4006,0.0,0.0,0.5553,-0.3475,0.0,0.0,35,13
ACP6,1311,283,0.0,0.0,0.9336,1.1687,0.0,0.0,0.6853,-0.5764,0.0,0.0,48,7
ACP7,1317,1586,0.0,0.0,0.8875,0.4692,0.017241,2.412e-05,0.6029,-0.5606,0.017241,2.412e-05,48,59
ACR,1266,164,0.0,0.0,0.8197,0.0081,,,,,,,46,0
ACRBP,1632,273,0.016667,0.00015318,0.7559,0.1442,0.0,0.0,-0.7973,-0.7902,-0.016667,-0.00015318,61,6
ACRV1,798,1138,0.076923,0.00163412,1.3643,1.7545,0.0,0.0,0.6933,-0.6009,-0.076923,-0.00163412,27,41
ACSBG1,2217,620,0.0,0.0,0.7783,0.2919,0.052632,0.00045082,1.4691,2.244,0.052632,0.00045082,84,20
ACSBG2,2001,733,0.0,0.0,1.214,1.6108,0.041667,0.00024455,1.2698,1.1173,0.041667,0.00024455,75,25
ACSF2,1923,328,0.014085,4.472e-05,1.0573,0.3268,0.0,0.0,0.1186,-1.7432,-0.014085,-4.472e-05,72,9
ACSF3,1941,4438,0.0,0.0,0.8184,-0.2035,0.011628,9.236e-05,0.8317,0.6402,0.011628,9.236e-05,73,173
ACSL1,2175,1553,0.0,0.0,0.6222,-0.3747,0.017544,0.0004742,1.4232,3.0261,0.017544,0.0004742,82,58
ACSL3,2178,818,0.036585,0.00105273,1.7608,3.8529,0.0,0.0,0.0905,-1.3822,-0.036585,-0.00105273,83,28
ACSL4,2136,3046,0.0125,1.25e-06,0.6722,-0.6175,0.017241,0.00060985,1.5807,3.8116,0.004741,0.0006086,81,117
ACSL5,2220,1123,0.024096,0.00067132,1.6879,4.9071,0.0,0.0,0.8911,-0.1489,-0.024096,-0.00067132,84,40
ACSL6,2169,4366,0.012346,0.00029304,1.2544,1.6391,0.011834,0.00014655,0.8121,0.2163,-0.000512,-0.00014649,82,170
ACSM1,1734,347,0.03125,0.00035115,1.3645,2.1006,0.0,0.0,-0.025,-0.4278,-0.03125,-0.00035115,65,9
ACSM2A,1734,1160,0.03125,0.0007003,1.0419,0.5013,0.04878,0.00051323,1.3834,2.3067,0.01753,-0.00018707,65,42
ACSM2B,1746,248,0.046875,0.00082707,1.3645,1.4076,,,,,,,65,0
ACSM3,1875,340,0.043478,0.00056033,1.5106,1.9079,0.0,0.0,0.9296,-0.473,-0.043478,-0.00056033,70,9
ACSM4,1743,606,0.015625,5.544e-05,0.7393,-0.0301,0.0,0.0,0.3305,-0.8438,-0.015625,-5.544e-05,65,20
ACSM5,1803,643,0.014925,0.00037522,1.2894,2.8311,0.0,0.0,0.9042,-0.0423,-0.014925,-0.00037522,68,21
ACSM6,1443,232,0.0,0.0,0.6902,-0.5094,,,,,,,53,0
ACSS1,2163,1657,0.012346,0.00022264,0.6507,-0.1712,0.0,0.0,0.7512,-0.3522,-0.012346,-0.00022264,82,62
ACSS2,2175,843,0.012346,9.87e-05,1.0179,0.7772,0.0,0.0,0.9686,-0.3688,-0.012346,-9.87e-05,82,29
ACSS3,2061,6330,0.0,0.0,0.8505,-0.1468,0.024194,0.00031775,0.9879,0.8058,0.024194,0.00031775,78,249
ACTA1,1134,357,0.0,0.0,0.9488,-0.0115,0.0,0.0,1.0563,0.0632,0.0,0.0,41,10
ACTA2,1176,215,0.0,0.0,0.9025,0.0701,,,,,,,42,0
ACTB,1128,1426,0.0,0.0,1.0285,2.1445,0.078431,0.00083321,0.8671,-0.4597,0.078431,0.00083321,41,52
ACTBL2,1131,1663,0.0,0.0,0.4692,-0.452,0.016393,2.924e-05,0.7812,-0.3932,0.016393,2.924e-05,41,62
ACTC1,1245,253,0.022727,0.00018549,0.7474,-0.1816,0.0,0.0,0.6802,-1.1595,-0.022727,-0.00018549,45,6
ACTG1,1143,786,0.05,0.00114136,1.5018,2.342,0.0,0.0,1.2653,2.2218,-0.05,-0.00114136,41,27
ACTG2,1218,161,0.0,0.0,1.2768,1.2738,,,,,,,44,0
ACTL10,738,845,0.0,0.0,0.2566,-0.5857,0.0,0.0,0.5422,-0.5657,0.0,0.0,25,29
ACTL6A,1290,564,0.0,0.0,0.8667,0.0907,0.0,0.0,0.0728,-1.3585,0.0,0.0,47,18
ACTL6B,1350,231,0.041667,0.00011343,1.5489,1.9377,,,,,,,49,0
ACTL7A,1308,183,0.0,0.0,0.8904,-0.4327,,,,,,,48,0
ACTL7B,1248,151,0.022727,0.00016461,1.5763,3.5368,,,,,,,45,0
ACTL8,1101,740,0.026316,0.00029503,1.4199,1.7776,0.0,0.0,0.5689,-0.9179,-0.026316,-0.00029503,39,25
ACTL9,1251,145,0.022727,0.00016461,1.4182,2.4874,,,,,,,45,0
ACTMAP,1062,2270,0.027027,3e-05,0.8855,0.0172,0.035294,0.00025995,1.0213,0.7095,0.008267,0.00022995,38,86
